pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
20,-0.7332606734420994,7.849351839739711,10.400587977315203,11.987484533653014,15.001376107758892,19.128858813413892,1.8392093653874169,68,A5,2025-02-25,中维护
20,-0.40132672583654044,5.79899474061655,7.435069884288609,7.449645953215847,6.84308258172396,5.407338811505138,0.7272747796132537,69,A5,2025-04-15,中维护
21,-0.3932494873990714,16.135283862880726,18.553779955331773,19.21447111151634,18.882724335170202,18.570324696589587,1.0008917180918198,70,A5,2025-06-14,中维护
21,-0.12674039354843813,4.369347411885727,5.108311781719891,4.887463599765411,4.385091122357577,0.6268501143035934,0.12271179620374355,71,A5,2025-08-19,中维护
21,-0.1981074203232092,14.608515981734534,16.4528635013184,15.774019558133324,15.011108741584014,12.493345555560555,0.7593417130434127,72,A5,2025-11-06,中维护
21,-0.4138216232804983,26.57723687835132,28.13602468248688,27.311573410804197,25.937179797401853,21.644829693826697,0.7692923907370399,73,A5,2026-01-08,中维护
21,-0.718167289122903,20.769935476919315,22.941659854461676,24.290502508528853,26.8485878618278,31.626120481151275,1.378545435761077,74,A5,2026-02-26,中维护
21,-0.423903108015249,32.466069432323934,33.483396465206155,33.56987027267508,,,,75,A5,2026-04-03,中维护
20,-0.48035962570675084,24.433976155008267,27.137515111590258,28.306439398493495,29.124701795647677,32.485052288982985,1.1970533099807958,76,A6,2024-06-06,中维护
21,-0.21298440417354697,28.252455659634265,29.829164698843357,28.890720561464075,27.343498165397904,23.661694860253633,0.7932402767272638,77,A6,2024-08-27,中维护
20,-0.34990477685874166,22.891109486797674,24.41182676490793,23.241863246929988,23.59593678571399,22.67785961790702,0.9289702010546179,78,A6,2024-11-06,大维护
18,-0.5479782530857475,41.17544132229288,43.620318869521306,44.05074701690744,45.01872811282375,45.03042406491737,1.0323267970510261,79,A6,2024-12-31,中维护
18,-0.6424141099057508,23.97553218851165,25.753105618771254,26.40301765801213,27.468084136318488,30.528235607004977,1.1854195784741846,80,A6,2025-02-19,大维护
21,-0.42553006095037205,24.645582078042978,26.39057100390781,26.685903145136376,26.53210969270674,28.1673031926408,1.0673245072442692,81,A6,2025-04-11,中维护
21,-0.4801595697819129,24.20716223147255,27.944067410728227,28.215397426730696,29.784741801215784,30.967033655045636,1.1081791780661407,82,A6,2025-06-04,中维护
21,-0.24862985740921761,35.756587819991296,36.71365638503457,37.654518455808294,39.16584276947905,39.048313395549236,1.063590969693401,83,A6,2025-08-23,中维护
20,-0.28159877051353444,18.938515540001575,20.08755820349633,20.269457863557317,19.479397744788166,19.893480735841653,0.9903384241285784,84,A6,2025-11-02,中维护
21,-0.3765440781636329,22.709898994425174,24.23724131909981,22.47275153515989,20.174301150387375,15.71332102820828,0.6483130988932154,85,A6,2026-01-03,中维护
21,-0.6989904910065612,14.838280606588228,17.77035431310881,17.655537474355384,18.96123728867202,23.131985686687607,1.3017177530120283,86,A6,2026-02-15,中维护
21,-0.39268733456595706,13.753720158156796,15.902317686726434,15.346370796998253,15.15855236426891,,,87,A6,2026-03-25,中维护
21,-0.39782045914268105,16.890589103777472,18.15248849343223,18.632416349074777,19.556527101937693,22.49051001732646,1.2389766849577553,89,A7,2024-07-04,中维护
21,-0.3132847250707444,33.21963155041779,35.522023334009155,36.48954289078271,37.43864956218048,36.962154065489685,1.0405419116456054,90,A7,2024-09-24,中维护
19,-0.3250216415869588,17.454205324057014,19.19792173799294,18.731563279687474,19.285154864493407,19.678470714248103,1.025031301971825,91,A7,2024-11-22,中维护
20,-0.4426989434407437,2.7973367243310605,3.982409433480593,3.0339131385412315,3.357835210251693,3.599813183803814,0.903928449330135,92,A7,2025-01-20,中维护
21,-0.4333509973856263,27.99480676879105,29.407761081306692,29.24360468742408,29.92998454810431,31.283855403589776,1.0637958910607324,93,A7,2025-02-24,中维护
21,-0.3741865145061366,18.07428779628441,20.17146323208853,20.54983209870032,21.70439629002913,23.150221016980016,1.1476718744009067,94,A7,2025-04-16,大维护
21,-0.2747316981762218,4.491785705565746,5.687944280619344,4.766006503147375,4.380705063359258,2.934501173898365,0.515915949440144,95,A7,2025-06-16,中维护
21,-0.10878215537833948,5.802489049484876,6.120370845834382,4.6543084198464815,3.76675382467522,0.8326770813194528,0.1360501025662825,96,A7,2025-09-01,中维护
21,-0.1313771771710452,22.65209199183809,24.102947405657353,23.40387437574982,23.04944344847862,23.209519508142193,0.9629328362843518,97,A7,2025-10-18,中维护
20,-0.4477177879495323,4.258136333612157,6.414260730388112,5.568383713875013,4.491513016066685,0.20975277878530463,0.03270100602421457,98,A7,2025-12-22,中维护
20,-0.5337836444308967,27.931212621074792,29.77107007850921,28.64814618128163,28.31616147590021,29.281603443408255,0.9835589841476915,99,A7,2026-02-08,大维护
19,-0.4385136656701061,16.480168720691772,18.223056365054354,17.527269378252015,17.5760721341502,,,100,A7,2026-03-25,中维护
19,-0.3180635616207894,14.109843549799209,16.227940479260234,16.321367614001993,16.2282022496836,16.27644262313075,1.0029888046442188,101,A8,2024-06-02,中维护
19,-0.23355186534863426,4.656929893409142,5.22590231871133,4.586413637772244,6.044126994304856,4.670906188053419,0.8937989849770538,102,A8,2024-08-10,中维护
